"AirQualityStation","Latitude","Longitude","concentration"
"STA.DE_DEBB092","52.33468","14.52596","27.9291248167862267"
"STA.DE_DEBB083","51.5645","14.3764","27.7364418900860832"
"STA.DE_DENW136","51.523543","7.483562","27.6210275191896024"
"STA.DE_DEMV017","53.30235199999999","11.362965","27.5508871164254703"
"STA.DE_DEBB049","52.40930899999999","12.548376","27.4931224171801926"
"STA.DE_DEMV023","53.63180500000001","11.398332","27.4773385904447633"
"STA.DE_DEMV025","54.319230000000005","13.081009999999996","27.3461151047769784"
"STA.DE_DESN025","51.34416399999999","12.377162999999998","27.2566028943623188"
"STA.DE_DEHH026","53.56063199999999","9.957236","27.2146008737719298"
"STA.DE_DENW200","52.00562000000001","8.552790000000002","27.1941212083939394"
"STA.DE_DEBB060","52.832467","13.822211","27.1296987047776184"
"STA.DE_DEBW118","48.7881","9.19101","27.0519209389414414"
"STA.DE_DEBB086","52.34970299999999","13.424304","27.0090784009215956"
"STA.DE_DEBY110","48.37023700000001","10.896221","26.9270512794971264"
"STA.DE_DENW211","50.96283799999999","7.004605","26.8411888309031199"
"STA.DE_DENW383","52.024158","8.534087","26.6937496002377179"
"STA.DE_DEHB006","53.07866299999999","8.825173","26.6574748889096126"
"STA.DE_DEHH015","53.52326200000001","10.021227","26.6553075766472303"
"STA.DE_DEBW117","48.88920000000001","9.19003","26.6352656956666667"
"STA.DE_DENW030","51.67286","6.629658000000001","26.6176216185135135"
"STA.DE_DEST112","52.13174200000001","11.631919","26.5725627564649243"
"STA.DE_DEHH033","53.638291","9.998009","26.5369854615116279"
"STA.DE_DENW207","50.773126","6.09576","26.4541523149503311"
"STA.DE_DEBE034","52.489451","13.430844","26.3706456202725968"
"STA.DE_DEST095","51.759516","11.449471","26.3381494545089903"
"STA.DE_DENW382","51.46072099999999","6.727486","26.3340229848275862"
"STA.DE_DEMV031","54.17729","12.09792","26.1132137697991392"
"STA.DE_DEBB021","52.401352","13.059945","26.0592539421090387"
"STA.DE_DEBB073","52.38886899999999","13.094618","26.0529411729555237"
"STA.DE_DEMV021","54.17133","12.080003","25.9720316510647482"
"STA.DE_DENW181","51.442993","8.360797","25.9266542170941558"
"STA.DE_DEHH070","53.55566799999999","9.943012","25.9184115073237410"
"STA.DE_DEBE010","52.54304099999999","13.349325999999998","25.8646915317790531"
"STA.DE_DEBW136","48.52022999999999","9.05802","25.8033636728236915"
"STA.DE_DEBB075","52.484168","13.123698","25.6992038179299363"
"STA.DE_DEBB109","52.089678","13.174949","25.6450502114203730"
"STA.DE_DEBE068","52.513606","13.418833","25.5608998514804064"
"STA.DE_DENW337","51.097638","6.469463","25.5204431563776493"
"STA.DE_DENW082","51.213166","6.782538","25.4800476156989247"
"STA.DE_DEBW142","48.90292","9.08135","25.3677536200000000"
"STA.DE_DENI066","52.150775","9.950223","25.3384882012445095"
"STA.DE_DESN020","51.155801","14.973958","25.3363189979195562"
"STA.DE_DEHH016","53.52902","10.081685","25.3167756278603269"
"STA.DE_DENW188","51.474935","6.863629","25.1896292276769231"
"STA.DE_DENW338","51.48549200000001","6.735430999999999","25.1699999963333333"
"STA.DE_DENW259","51.169434","6.439945","25.1215247488778878"
"STA.DE_DENW182","50.92710699999999","6.582205","25.1105916484392015"
"STA.DE_DEBB053","52.56383499999998","14.015251999999998","25.1050215171879484"
"STA.DE_DETH083","50.977462","11.326069999999998","25.0890059116642755"
"STA.DE_DESN045","50.892377","14.822846","25.0839137656189152"
"STA.DE_DEHB011","53.585262","8.59876","25.0776011524566474"
"STA.DE_DESN004","51.175669","14.443770999999998","25.0545786398412698"
"STA.DE_DEHB013","53.1177","8.69506","25.0273442099851632"
"STA.DE_DEMV019","53.78175","12.175512","24.9945997094835007"
"STA.DE_DEHH072","53.535958","9.84408","24.9900368694690265"
"STA.DE_DEHH059","53.50793","9.990569","24.9605021995888399"
"STA.DE_DEHE061","50.58410799999999","8.668579","24.8954091437876614"
"STA.DE_DETH081","50.972331","11.010445999999998","24.8657587419799139"
"STA.DE_DENW351","51.52428","7.060350000000001","24.8399999960000000"
"STA.DE_DESH035","53.896117","9.156908","24.8251999976666667"
"STA.DE_DEHH079","53.54526899999999","9.944815","24.7722980877386197"
"STA.DE_DESN061","51.06492999999999","13.741397","24.6746662015650970"
"STA.DE_DENW180","51.06376999999999","6.559446","24.6733333296666667"
"STA.DE_DEBB055","52.420442","12.552303","24.6503586764562410"
"STA.DE_DEBY120","49.440478","11.036096000000002","24.6188490394830133"
"STA.DE_DEBW099","48.78312999999999","9.180720000000004","24.5918656222314050"
"STA.DE_DEBY115","48.149606000000006","11.536512999999998","24.5644065864992826"
"STA.DE_DENW112","51.437686","6.771867","24.5354076503660566"
"STA.DE_DENW367","51.56805099999999","6.990946","24.5269509459018987"
"STA.DE_DENW066","51.32693399999999","6.195834","24.5201433357841484"
"STA.DE_DEBW116","48.76871","9.18449","24.5199275316666667"
"STA.DE_DEMV004","53.81777499999999","12.064708","24.5059913758333333"
"STA.DE_DEBB029","53.064262","14.285139","24.4862266822668580"
"STA.DE_DEBW152","49.14600000000001","9.22589","24.4814814783333333"
"STA.DE_DEBB064","51.746848","14.33447","24.3990371353370014"
"STA.DE_DESN083","50.84574","12.903367","24.3967013853472222"
"STA.DE_DENW053","51.019338000000005","6.884571","24.3759173520330579"
